Year,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,AVG
2008,AVG,6579.70,,,,,,,,,,,,,,,,,,,,
2009,Atlantic,4889.5,,,,,,,,,,,,,,,,,,,,
2009,Bergen,9738.6,,,,,,,,,,,,,,,,,,,,
2009,Burlington,5815.8,,,,,,,,,,,,,,,,,,,,
2009,Camden,5428.9,,,,,,,,,,,,,,,,,,,,
2009,Cape May,4305.4,,,,,,,,,,,,,,,,,,,,
2009,Cumberland,3677,,,,,,,,,,,,,,,,,,,,
2009,Essex,9505.3,,,,,,,,,,,,,,,,,,,,
2009,Gloucester,5714.3,,,,,,,,,,,,,,,,,,,,
2009,Hudson,6686.2,,,,,,,,,,,,,,,,,,,,
2009,Hunterdon,8818.6,,,,,,,,,,,,,,,,,,,,
2009,Mercer,6956,,,,,,,,,,,,,,,,,,,,
2009,Middlesex,6667.9,,,,,,,,,,,,,,,,,,,,
2009,Monmouth,7735.5,,,,,,,,,,,,,,,,,,,,
2009,Morris,8919.8,,,,,,,,,,,,,,,,,,,,
2009,Ocean,5018.4,,,,,,,,,,,,,,,,,,,,
2009,Passaic,8020.4,,,,,,,,,,,,,,,,,,,,
2009,Salem,4469.1,,,,,,,,,,,,,,,,,,,,
2009,Somerset,8422.8,,,,,,,,,,,,,,,,,,,,
2009,Sussex,6566.8,,,,,,,,,,,,,,,,,,,,
2009,Union,8639.1,,,,,,,,,,,,,,,,,,,,
2009,Warren,6213,,,,,,,,,,,,,,,,,,,,
2009,AVG,6771.83,,,,,,,,,,,,,,,,,,,,
2010,Atlantic,5147.9,,,,,,,,,,,,,,,,,,,,
2010,Bergen,10113.9,,,,,,,,,,,,,,,,,,,,
2010,Burlington,6027.4,,,,,,,,,,,,,,,,,,,,
2010,Camden,5670.6,,,,,,,,,,,,,,,,,,,,
2010,Cape May,4435,,,,,,,,,,,,,,,,,,,,
2010,Cumberland,3782.7,,,,,,,,,,,,,,,,,,,,
2010,Essex,10202.3,,,,,,,,,,,,,,,,,,,,
2010,Gloucester,5963.8,,,,,,,,,,,,,,,,,,,,
2010,Hudson,7031.4,,,,,,,,,,,,,,,,,,,,
2010,Hunterdon,8930.5,,,,,,,,,,,,,,,,,,,,
2010,Mercer,7332.3,,,,,,,,,,,,,,,,,,,,
2010,Middlesex,6846.6,,,,,,,,,,,,,,,,,,,,
2010,Monmouth,7998,,,,,,,,,,,,,,,,,,,,
2010,Morris,9133.3,,,,,,,,,,,,,,,,,,,,
2010,Ocean,5268.6,,,,,,,,,,,,,,,,,,,,
2010,Passaic,8443,,,,,,,,,,,,,,,,,,,,
2010,Salem,4530.8,,,,,,,,,,,,,,,,,,,,
2010,Somerset,8581.6,,,,,,,,,,,,,,,,,,,,
2010,Sussex,6795.2,,,,,,,,,,,,,,,,,,,,
2010,Union,9057.1,,,,,,,,,,,,,,,,,,,,
2010,Warren,6242.2,,,,,,,,,,,,,,,,,,,,
2010,AVG,7025.44,,,,,,,,,,,,,,,,,,,,
2011,Atlantic,5405,,,,,,,,,,,,,,,,,,,,
2011,Bergen,10326.8,,,,,,,,,,,,,,,,,,,,
2011,Burlington,6081.5,,,,,,,,,,,,,,,,,,,,
2011,Camden,5859.2,,,,,,,,,,,,,,,,,,,,
2011,Cape May,4473.6,,,,,,,,,,,,,,,,,,,,
2011,Cumberland,3856.8,,,,,,,,,,,,,,,,,,,,
2011,Essex,10515.6,,,,,,,,,,,,,,,,,,,,
2011,Gloucester,5855.2,,,,,,,,,,,,,,,,,,,,
2011,Hudson,7151.4,,,,,,,,,,,,,,,,,,,,
2011,Hunterdon,8931.3,,,,,,,,,,,,,,,,,,,,
2011,Mercer,7449,,,,,,,,,,,,,,,,,,,,
2011,Middlesex,7155.2,,,,,,,,,,,,,,,,,,,,
2011,Monmouth,8120.6,,,,,,,,,,,,,,,,,,,,
2011,Morris,9318.5,,,,,,,,,,,,,,,,,,,,
2011,Ocean,5440.3,,,,,,,,,,,,,,,,,,,,
2011,Passaic,8873.1,,,,,,,,,,,,,,,,,,,,
2011,Salem,4631.8,,,,,,,,,,,,,,,,,,,,
2011,Somerset,8745.5,,,,,,,,,,,,,,,,,,,,
2011,Sussex,7001.2,,,,,,,,,,,,,,,,,,,,
2011,Union,9472.3,,,,,,,,,,,,,,,,,,,,
2011,Warren,6290.5,,,,,,,,,,,,,,,,,,,,
2011,AVG,7188.30,,,,,,,,,,,,,,,,,,,,
2012,Atlantic,5632.1,,,,,,,,,,,,,,,,,,,,
2012,Bergen,10476.9,,,,,,,,,,,,,,,,,,,,
2012,Burlington,6169,,,,,,,,,,,,,,,,,,,,
2012,Camden,5968.9,,,,,,,,,,,,,,,,,,,,
2012,Cape May,4497.5,,,,,,,,,,,,,,,,,,,,
2012,Cumberland,3869.2,,,,,,,,,,,,,,,,,,,,
2012,Essex,10705.2,,,,,,,,,,,,,,,,,,,,
2012,Gloucester,5912,,,,,,,,,,,,,,,,,,,,
2012,Hudson,7304.5,,,,,,,,,,,,,,,,,,,,
2012,Hunterdon,8908.5,,,,,,,,,,,,,,,,,,,,
2012,Mercer,7587.8,,,,,,,,,,,,,,,,,,,,
2012,Middlesex,7274,,,,,,,,,,,,,,,,,,,,
2012,Monmouth,8215.6,,,,,,,,,,,,,,,,,,,,
2012,Morris,9395.6,,,,,,,,,,,,,,,,,,,,
2012,Ocean,5528.5,,,,,,,,,,,,,,,,,,,,
2012,Passaic,9184.3,,,,,,,,,,,,,,,,,,,,
2012,Salem,4769.6,,,,,,,,,,,,,,,,,,,,
2012,Somerset,8921.9,,,,,,,,,,,,,,,,,,,,
2012,Sussex,7115.8,,,,,,,,,,,,,,,,,,,,
2012,Union,9657.9,,,,,,,,,,,,,,,,,,,,
2012,Warren,6359.3,,,,,,,,,,,,,,,,,,,,
2012,AVG,7307.34,,,,,,,,,,,,,,,,,,,,
2013,Atlantic,6094.6,,,,,,,,,,,,,,,,,,,,
2013,Bergen,10642,,,,,,,,,,,,,,,,,,,,
2013,Burlington,6254.1,,,,,,,,,,,,,,,,,,,,
2013,Camden,5957.3,,,,,,,,,,,,,,,,,,,,
2013,Cape May,4557.1,,,,,,,,,,,,,,,,,,,,
2013,Cumberland,3706,,,,,,,,,,,,,,,,,,,,
2013,Essex,10590.1,,,,,,,,,,,,,,,,,,,,
2013,Gloucester,6079.6,,,,,,,,,,,,,,,,,,,,
2013,Hudson,7467.2,,,,,,,,,,,,,,,,,,,,
2013,Hunterdon,8968.9,,,,,,,,,,,,,,,,,,,,
2013,Mercer,7735.8,,,,,,,,,,,,,,,,,,,,
2013,Middlesex,7402.7,,,,,,,,,,,,,,,,,,,,
2013,Monmouth,8306.7,,,,,,,,,,,,,,,,,,,,
2013,Morris,9547,,,,,,,,,,,,,,,,,,,,
2013,Ocean,5469.6,,,,,,,,,,,,,,,,,,,,
2013,Passaic,9368,,,,,,,,,,,,,,,,,,,,
2013,Salem,4870.9,,,,,,,,,,,,,,,,,,,,
2013,Somerset,9082.6,,,,,,,,,,,,,,,,,,,,
2013,Sussex,7144.1,,,,,,,,,,,,,,,,,,,,
2013,Union,9932.2,,,,,,,,,,,,,,,,,,,,
2013,Warren,6399.2,,,,,,,,,,,,,,,,,,,,
2013,AVG,7408.37,,,,,,,,,,,,,,,,,,,,
2014,Atlantic,6544.6,,,,,,,,,,,,,,,,,,,,
2014,Bergen,10825.6,,,,,,,,,,,,,,,,,,,,
2014,Burlington,6288.9,,,,,,,,,,,,,,,,,,,,
2014,Camden,6098.6,,,,,,,,,,,,,,,,,,,,
2014,Cape May,4650.8,,,,,,,,,,,,,,,,,,,,
2014,Cumberland,3796.9,,,,,,,,,,,,,,,,,,,,
2014,Essex,10895.7,,,,,,,,,,,,,,,,,,,,
2014,Gloucester,6232.5,,,,,,,,,,,,,,,,,,,,
2014,Hudson,8033.6,,,,,,,,,,,,,,,,,,,,
2014,Hunterdon,9020.4,,,,,,,,,,,,,,,,,,,,
2014,Mercer,7812.1,,,,,,,,,,,,,,,,,,,,
2014,Middlesex,7541.4,,,,,,,,,,,,,,,,,,,,
2014,Monmouth,8448,,,,,,,,,,,,,,,,,,,,
2014,Morris,9665.7,,,,,,,,,,,,,,,,,,,,
2014,Ocean,5718.9,,,,,,,,,,,,,,,,,,,,
2014,Passaic,9571.9,,,,,,,,,,,,,,,,,,,,
